Unnamed: 0,Location,Date Published,Total Cases,Total Deaths,Pct Cases Black/AA,Pct Deaths Black/AA,Date Run,Status code,Count Cases Black/AA,Count Deaths Black/AA,Pct Includes Unknown Race,Pct Includes Hispanic Black,Count Cases Known Race,Count Deaths Known Race,Black/AA Population,Pct Black/AA Population,Date/Time Run,Date Run.1,Date/Time Run.1
Massachusetts,Massachusetts,5/8/2020,75333.0,4702.0,8.18,5.25,2020-05-08,,,,,,,,,,,,
Virginia,Virginia,5/8/2020,22342.0,812.0,17.15,22.41,2020-05-08,,,,,,,,,,,,
Washington DC,"Washington, DC",5/8/2020,5899.0,304.0,47.35,79.28,2020-05-08,,,,,,,,,,,,
Georgia,Georgia,5/8/2020,32177.0,1400.0,36.0,49.57,2020-05-08,,,,,,,,,,,,
Massachusetts,Massachusetts,5/8/2020,75333.0,4702.0,8.18,5.25,2020-05-09,Success!,,,,,,,,,,,
Virginia,Virginia,5/9/2020,23196.0,827.0,17.0,22.37,2020-05-09,Success!,,,,,,,,,,,
Washington DC,"Washington, DC",5/8/2020,5899.0,304.0,47.35,79.28,2020-05-09,Success!,,,,,,,,,,,
Georgia,Georgia,5/9/2020,32504.0,1400.0,35.76,49.57,2020-05-09,Success!,,,,,,,,,,,
Michigan,Michigan,5/8/2020,46326.0,4393.0,0.07,0.93,2020-05-09,Success!,,,,,,,,,,,
Minnesota,Minnesota,5/9/2020,10790.0,558.0,17.0,6.0,2020-05-09,Success!,,,,,,,,,,,
North Carolina,North Carolina,5/9/2020,544.0,14360.0,35.0,34.0,2020-05-09,Success!,,,,,,,,,,,
Texas -- Bexar County,Texas - Bexar County,5/8/2020,1805.0,54.0,8.92,24.07,2020-05-09,Success!,,,,,,,,,,,
Wisconsin -- Milwaukee,Wisconsin - Milwaukee,5/9/2020,3839.0,212.0,39.52,49.53,2020-05-09,Success!,,,,,,,,,,,
Massachusetts,Massachusetts,5/9/2020,76743.0,4840.0,8.19,5.21,2020-05-10,Success!,6288.0,252.0,,,,,,,,,
Virginia,Virginia,5/10/2020,24081.0,839.0,16.74,22.29,2020-05-10,Success!,4031.0,187.0,,,,,,,,,
Washington DC,"Washington, DC",5/8/2020,5899.0,304.0,47.35,79.28,2020-05-10,Success!,2793.0,241.0,,,,,,,,,
Georgia,Georgia,5/10/2020,33508.0,1405.0,35.39,49.61,2020-05-10,Success!,11857.0,697.0,,,,,,,,,
Michigan,Michigan,5/10/2020,47138.0,4551.0,32.0,41.0,2020-05-10,Success!,15084.0,1866.0,,,,,,,,,
Minnesota,Minnesota,5/10/2020,11271.0,578.0,17.0,6.0,2020-05-10,Success!,1916.0,35.0,,,,,,,,,
North Carolina,North Carolina,5/10/2020,547.0,14764.0,35.0,34.0,2020-05-10,Success!,191.0,5020.0,,,,,,,,,
Texas -- Bexar County,Texas -- Bexar County,5/9/2020,1805.0,54.0,9.31,24.07,2020-05-10,Success!,168.0,13.0,,,,,,,,,
Wisconsin -- Milwaukee,Wisconsin -- Milwaukee,5/10/2020,3981.0,217.0,38.78,48.85,2020-05-10,Success!,1544.0,106.0,,,,,,,,,
San Diego,California - San Diego,5/9/2020,4926.0,175.0,3.39,2.29,2020-05-10,Success!,167.0,4.0,,,,,,,,,
Florida,Florida,,,,,,2020-05-10,"An error occured. ... FileNotFoundError(2, 'No such file or directory')",,,,,,,,,,,
Massachusetts,Massachusetts,5/9/2020,76743.0,4840.0,8.19,5.21,2020-05-11,Success!,6288.0,252.0,,,,,,,,,
Virginia,Virginia,5/11/2020,25070.0,850.0,16.43,22.24,2020-05-11,Success!,4119.0,189.0,,,,,,,,,
Washington DC,"Washington, DC",5/8/2020,5899.0,304.0,47.35,79.28,2020-05-11,Success!,2793.0,241.0,,,,,,,,,
Georgia,Georgia,5/11/2020,34002.0,1444.0,35.24,49.52,2020-05-11,Success!,11982.0,715.0,,,,,,,,,
Michigan,Michigan,5/11/2020,47552.0,4584.0,32.0,41.0,2020-05-11,Success!,15217.0,1879.0,,,,,,,,,
Minnesota,Minnesota,5/11/2020,11799.0,591.0,17.0,6.0,2020-05-11,Success!,2006.0,35.0,,,,,,,,,
North Carolina,North Carolina,,,,,,2020-05-11,An error occured. ... ValueError('unconverted data remains: Updated at 2:00 p.m.\xa0'),,,,,,,,,,,
Texas -- Bexar County,Texas -- Bexar County,5/11/2020,1805.0,54.0,9.53,25.93,2020-05-11,Success!,172.0,14.0,,,,,,,,,
Wisconsin -- Milwaukee,Wisconsin -- Milwaukee,5/11/2020,4051.0,221.0,39.1,48.87,2020-05-11,Success!,1584.0,108.0,,,,,,,,,
San Diego,California - San Diego,5/10/2020,5065.0,175.0,3.36,2.29,2020-05-11,Success!,170.0,4.0,,,,,,,,,
Florida,Florida,,,,,,2020-05-11,"An error occured. ... NameError(""name 'fl_daily_url' is not defined"")",,,,,,,,,,,
Massachusetts,Massachusetts,5/9/2020,76743.0,4840.0,8.19,5.21,2020-05-12,Success!,6288.0,252.0,,,,,,,,,
Virginia,Virginia,5/12/2020,25800.0,891.0,16.38,21.89,2020-05-12,Success!,4226.0,195.0,,,,,,,,,
Washington DC,"Washington, DC",5/8/2020,5899.0,304.0,47.35,79.28,2020-05-12,Success!,2793.0,241.0,,,,,,,,,
Georgia,Georgia,5/12/2020,34848.0,1494.0,35.5,49.0,2020-05-12,Success!,12370.0,732.0,,,,,,,,,
Michigan,Michigan,5/12/2020,48021.0,4674.0,32.0,41.0,2020-05-12,Success!,15367.0,1916.0,,,,,,,,,
Minnesota,Minnesota,5/12/2020,12494.0,614.0,18.0,5.0,2020-05-12,Success!,2249.0,31.0,,,,,,,,,
North Carolina,North Carolina,5/12/2020,577.0,15346.0,35.0,36.0,2020-05-12,Success!,202.0,5525.0,,,,,,,,,
Texas -- Bexar County,Texas -- Bexar County,5/12/2020,1805.0,54.0,9.58,25.93,2020-05-12,Success!,173.0,14.0,,,,,,,,,
Wisconsin -- Milwaukee,Wisconsin -- Milwaukee,5/12/2020,4193.0,222.0,38.49,49.1,2020-05-12,Success!,1614.0,109.0,,,,,,,,,
San Diego,California - San Diego,5/11/2020,5161.0,190.0,3.31,2.11,2020-05-12,Success!,171.0,4.0,,,,,,,,,
Florida,Florida,,,,,,2020-05-12,"An error occured. ... NameError(""name 'Path' is not defined"")",,,,,,,,,,,
Massachusetts,Massachusetts,5/9/2020,76743.0,4840.0,8.19,5.21,2020-05-13,Success!,6288.0,252.0,,,,,,,,,
Virginia,Virginia,5/13/2020,26746.0,927.0,16.22,21.68,2020-05-13,Success!,4337.0,201.0,,,,,,,,,
Washington DC,"Washington, DC",5/8/2020,5899.0,304.0,47.35,79.28,2020-05-13,Success!,2793.0,241.0,,,,,,,,,
Georgia,Georgia,5/13/2020,35332.0,1505.0,35.17,48.9,2020-05-13,Success!,12428.0,736.0,,,,,,,,,
Michigan,Michigan,5/13/2020,48391.0,4714.0,32.0,41.0,2020-05-13,Success!,15485.0,1933.0,,,,,,,,,
Minnesota,Minnesota,,,,,,2020-05-13,"An error occured. ... ValueError(""time data 'ay 13, 2020' does not match format '%B %d, %Y'"")",,,,,,,,,,,
North Carolina,North Carolina,5/13/2020,597.0,15816.0,34.0,35.0,2020-05-13,Success!,203.0,5536.0,,,,,,,,,
Texas -- Bexar County,Texas -- Bexar County,5/12/2020,1805.0,54.0,9.58,25.93,2020-05-13,Success!,173.0,14.0,,,,,,,,,
Wisconsin -- Milwaukee,Wisconsin -- Milwaukee,5/13/2020,4336.0,227.0,37.57,48.02,2020-05-13,Success!,1629.0,109.0,,,,,,,,,
San Diego,California - San Diego,5/12/2020,5161.0,190.0,3.31,2.11,2020-05-13,Success!,171.0,4.0,,,,,,,,,
Florida,Florida,,,,,,2020-05-13,"An error occured. ... NameError(""name 'fl_daily_url' is not defined"")",,,,,,,,,,,
,North Carolina,,,,,,2020-05-22,"An error occurred. ... AttributeError(""'NoneType' object has no attribute 'tr'"")",,,,,,,,,,,
,Wisconsin -- Milwaukee,2020-05-21,5631.0,246.0,33.58,2.04,2020-05-22,Success!,1891.0,115.0,,,,,,,,,
,Michigan,2020-05-21,53510.0,5129.0,31.0,40.0,2020-05-22,Success!,16588.0,2052.0,,,,,,,,,
,Massachusetts,2020-05-21 00:00:00,90084.0,6148.0,8.76,5.09,2020-05-22,Success!,7892.0,313.0,,,,,,,,,
,Texas -- Bexar County,2020-05-21,1805.0,54.0,11.58,27.78,2020-05-22,Success!,209.0,15.0,,,,,,,,,
,Minnesota,<built-in method date of datetime.datetime object at 0x11e2ab210>,18200.0,809.0,22.76,5.32,2020-05-22,Success!,4142.0,43.0,,,,,,,,,
,Florida,,,,,,2020-05-22,"An error occurred. ... AttributeError(""'NoneType' object has no attribute 'group'"")",,,,,,,,,,,
,"Washington, DC",2020-05-21 00:00:00,7788.0,412.0,45.84,76.7,2020-05-22,Success!,3570.0,316.0,,,,,,,,,
,California - San Diego,2020-05-21 03:15:28.537258,6315.0,241.0,3.07,2.07,2020-05-22,Success!,194.0,5.0,,,,,,,,,
,Georgia,,,,,,2020-05-22,An error occurred. ... KeyError('AFRICAN-AMERICAN'),,,,,,,,,,,
,Virginia,2020-05-21 00:00:00,34137.0,1099.0,15.26,21.02,2020-05-22,Success!,5209.0,231.0,,,,,,,,,
,North Carolina,,,,,,2020-06-07,An error occurred. ... ValueError('Unable to extract date from table header.'),,,,,,,,,,,
,Wisconsin -- Milwaukee,2020-06-07,8827.0,296.0,28.57,1.44,2020-06-07,Success!,2522.0,127.0,,,,,,,,,
,Michigan,,,,,,2020-06-07,"An error occurred. ... UnboundLocalError(""local variable 'date_published' referenced before assignment"")",,,,,,,,,,,
,Massachusetts,2020-06-07 00:00:00,103436.0,7316.0,9.28,8.28,2020-06-07,Success!,9600.0,606.0,,,,,,,,,
,Texas -- Bexar County,2020-06-07,1805.0,54.0,14.9,31.48,2020-06-07,Success!,269.0,17.0,,,,,,,,,
,Minnesota,,,,,,2020-06-07,"An error occurred. ... AttributeError(""'NoneType' object has no attribute 'group'"")",,,,,,,,,,,
,Florida,,,,,,2020-06-07,"An error occurred. ... NotADirectoryError(20, 'Not a directory')",,,,,,,,,,,
,"Washington, DC",2020-06-05 00:00:00,9199.0,479.0,45.91,74.53,2020-06-07,Success!,4223.0,357.0,,,,,,,,,
,California - San Diego,2020-06-06 23:30:21.801049,8476.0,296.0,3.01,2.7,2020-06-07,Success!,255.0,8.0,,,,,,,,,
,Georgia,,,,,,2020-06-07,An error occurred. ... StopIteration(),,,,,,,,,,,
,Virginia,2020-06-06 00:00:00,49397.0,1460.0,13.97,20.34,2020-06-07,Success!,6900.0,297.0,,,,,,,,,
,Florida,,,,,,2020-06-08,"An error occurred. ... NotADirectoryError(20, 'Not a directory')",,,,,,,,,,,
,North Carolina,,,,,,2020-06-09,An error occurred. ... ValueError('Unable to extract date from table header.'),,,,,,,,,,,
,Wisconsin -- Milwaukee,2020-06-08,8925.0,300.0,28.54,1.45,2020-06-09,Success!,2547.0,129.0,,,,,,,,,
,Michigan,,,,,,2020-06-09,"An error occurred. ... UnboundLocalError(""local variable 'date_published' referenced before assignment"")",,,,,,,,,,,
,Massachusetts,2020-06-08 00:00:00,103626.0,7353.0,9.28,8.31,2020-06-09,Success!,9617.0,611.0,,,,,,,,,
,Texas -- Bexar County,2020-06-08,1805.0,54.0,15.12,31.48,2020-06-09,Success!,273.0,17.0,,,,,,,,,
,Minnesota,2020-06-08,28224.0,1197.0,21.99,6.35,2020-06-09,Success!,6207.0,76.0,,,,,,,,,
,Florida,06/08/2020,63378.0,2712.0,18.44,20.06,2020-06-09,Success!,11690.0,544.0,,,,,,,,,
,"Washington, DC",2020-06-08 00:00:00,9389.0,491.0,45.94,74.75,2020-06-09,Success!,4313.0,367.0,,,,,,,,,
,California - San Diego,2020-06-08 06:45:28.769909,8619.0,296.0,2.98,2.7,2020-06-09,Success!,257.0,8.0,,,,,,,,,
,Georgia,2020-06-08,52497.0,2208.0,31.5,48.78,2020-06-09,Success!,16538.0,1077.0,,,,,,,,,
,Virginia,2020-06-08 00:00:00,51251.0,1477.0,13.74,20.31,2020-06-09,Success!,7043.0,300.0,,,,,,,,,
,Alabama,2020-06-10,21626.0,739.0,42.64,45.06,2020-06-10,Success!,9221.0,333.0,,,,,,,,,
,Arkansas,2020-06-10,593.0,11.0,2.7,0.0,2020-06-10,Success!,16.0,0.0,,,,,,,,,
,California,2020-06-09,97336.0,4600.0,4.8,9.8,2020-06-10,Success!,4713.0,451.0,,,,,,,,,
,California - San Diego,2020-06-09 23:57:39.114118,8729.0,301.0,2.98,2.99,2020-06-10,Success!,260.0,9.0,,,,,,,,,
,Colorado,2020-06-10,28499.0,1573.0,5.88,6.74,2020-06-10,Success!,1676.0,106.0,,,,,,,,,
,Florida,2020-06-10,65779.0,2801.0,18.54,19.92,2020-06-10,Success!,12198.0,558.0,,,,,,,,,
,Georgia,2020-06-10,53980.0,2329.0,31.43,48.22,2020-06-10,Success!,16965.0,1123.0,,,,,,,,,
,Massachusetts,2020-06-10 00:00:00,104156.0,7454.0,9.34,8.32,2020-06-10,Success!,9729.0,620.0,,,,,,,,,
,Michigan,,,,,,2020-06-10,"An error occurred. ... UnboundLocalError(""local variable 'date_published' referenced before assignment"")",,,,,,,,,,,
,Minnesota,2020-06-10,28869.0,1236.0,21.97,6.31,2020-06-10,Success!,6342.0,78.0,,,,,,,,,
,North Carolina,,,,,,2020-06-10,An error occurred. ... ValueError('Unable to extract date from table header.'),,,,,,,,,,,
,Texas -- Bexar County,2020-06-10,1805.0,54.0,15.51,31.48,2020-06-10,Success!,280.0,17.0,,,,,,,,,
,Virginia,2020-06-09 00:00:00,51738.0,1496.0,13.83,20.79,2020-06-10,Success!,7154.0,311.0,,,,,,,,,
,"Washington, DC",2020-06-09 00:00:00,9474.0,495.0,45.71,74.14,2020-06-10,Success!,4331.0,367.0,,,,,,,,,
,Wisconsin -- Milwaukee,2020-06-10,9161.0,306.0,28.35,1.41,2020-06-10,Success!,2597.0,129.0,,,,,,,,,
,North Carolina,,,,,,2020-06-16,An error occurred. ... ValueError('Unable to extract date from table header.'),,,,,,,,,,,
,Wisconsin -- Milwaukee,2020-06-15,9610.0,319.0,28.1,1.38,2020-06-16,Success!,2700.0,133.0,,,,,,,,,
,Alabama,2020-06-15,25892.0,769.0,41.21,45.64,2020-06-16,Success!,10670.0,351.0,,,,,,,,,
,Michigan,,,,,,2020-06-16,"An error occurred. ... UnboundLocalError(""local variable 'date_published' referenced before assignment"")",,,,,,,,,,,
,Arkansas,2020-06-15,664.0,12.0,2.6,0.0,2020-06-16,Success!,17.0,0.0,,,,,,,,,
,Massachusetts,2020-06-15 00:00:00,105690.0,7647.0,9.34,8.24,2020-06-16,Success!,9873.0,630.0,,,,,,,,,
,Missouri,2020-06-13,16189.0,828.0,30.38,35.15,2020-06-16,Success!,3760.0,246.0,,,,,,,,,
,Mississippi,,,,,,2020-06-16,"An error occurred. ... AttributeError(""'list' object has no attribute 'iloc'"")",,,,,,,,,,,
,Texas -- Bexar County,2020-06-15,1805.0,54.0,17.17,31.48,2020-06-16,Success!,310.0,17.0,,,,,,,,,
,Minnesota,2020-06-15,30693.0,1304.0,21.66,7.06,2020-06-16,Success!,6649.0,92.0,,,,,,,,,
,California,2020-06-14,107199.0,4935.0,4.7,9.5,2020-06-16,Success!,4999.0,471.0,,,,,,,,,
,Florida,2020-06-15,75388.0,2938.0,17.81,19.98,2020-06-16,Success!,13426.0,587.0,,,,,,,,,
,"Washington, DC",2020-06-16 00:00:00,9818.0,520.0,50.07,74.04,2020-06-16,Success!,4916.0,385.0,,,,,,,,,
