Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Pct Includes Unknown Race,Pct Includes Hispanic Black,Count Cases Known Race,Count Deaths Known Race,Black/AA Population,Pct Black/AA Population,Status code
Texas,2020-07-14,25496,719,2916,92.0,11.44,12.8,True,False,,,3365783,12.07,Success!
Texas -- Bexar County,2020-07-14,21067,201,464,17.0,6.81,15.32,False,False,6812.0,111.0,146703,7.62,Success!
New York -- New York,2020-07-14,216468,18720,33524,5232.0,30.15,30.49,False,True,111207.0,17159.0,2049418,24.27,Success!
Rhode Island,2020-07-03,16491,960,1592,48.0,12.29,6.14,False,False,12950.0,782.0,69254,6.55,Success!
Tennessee,2020-07-14,66788,767,13150,273.0,19.69,35.59,True,True,,,1117489,16.8,Success!
Utah,2020-07-14,30478,226,769,<5,2.5,,True,False,,,35862,1.18,Success!
Kentucky,2020-07-14,20223,635,1832,91,13.99,15.29,False,True,13096.0,596.0,354112,7.98,Success!
Arkansas,2020-07-14,29733,331,6283,81,24.74,26.13,False,True,25396.0,310.0,460970,15.41,Success!
California - San Diego,2020-07-14,20887,436,768,16,4.66,3.75,False,False,16473.0,427.0,166412,5.04,Success!
Virginia,2020-07-14,72443,1977,11121,460,15.35,23.27,True,True,,,1613285,19.17,Success!
New Mexico,2020-07-14,15514,551,285,,1.84,,True,False,,,43006,2.06,Success!
Florida -- Miami-Dade County,2020-07-14,69803,1175,7470,,20.53,,False,True,36385.0,,481976,17.75,Success!
Florida -- Orange County,2020-07-14,19377,85,2498,,25.2,,False,True,9913.0,,277193,20.98,Success!
Alabama,2020-07-14,56441,1136,18079,498,44.7,45.48,False,False,40446.0,1095.0,1293186,26.58,Success!
California - Los Angeles,2020-07-13,140307,3894,3737,391,4.69,10.8,False,False,79721.0,3619.0,823987,8.16,Success!
Maryland,2020-07-14,74260,3202,21525,1301,35.07,40.87,False,False,61384.0,3183.0,1788090,29.78,Success!
Mississippi,2020-07-13,37542,1272,17583,636,46.84,50.0,True,True,,,1125834,37.67,Success!
Pennsylvania,2020-07-14,93906,6931,12962,1426,30.26,21.68,False,True,42830.0,6579.0,1423319,11.13,Success!
Florida,2020-07-14,287789,4409,35728,855,12.41,19.39,True,False,,,3316376,16.1,Success!
Montana,2020-07-14,1952,34,12,,0.61,,True,True,,,4630,0.44,Success!
Vermont,2020-07-14,1305,56,144,0,11.33,0.0,False,True,1271.0,56.0,8058,1.29,Success!
Connecticut,2020-07-13,45547,3497,6264,645,13.75,18.44,True,False,,,378262,10.56,Success!
Colorado,2020-07-14,37686,1738,1926,118,6.31,7.01,False,False,30537.0,1683.0,227938,4.12,Success!
Nebraska,2020-07-14,21717,286,1275,22,7.63,7.97,False,True,16719.0,276.0,90860,4.77,Success!
Michigan,2020-07-14,70222,5993,20743,2393,29.54,39.93,True,False,,,1375424,13.81,Success!
California,2020-07-13,336447,7039,9389.0,616.0,4.3,8.9,False,True,216373.0,6924.0,2267875,5.79,Success!
Indiana,2020-07-14,52685,2582,6260,371,11.88,14.37,True,True,,,619472,9.33,Success!
Alaska,2020-07-14,1579.0,17.0,37.0,0.0,1.4,0.0,False,True,2651.0,34.0,24129,3.27,Success!
Wisconsin,2020-07-14,37906,826,6244,195,18.27,23.96,False,True,34174.0,814.0,368744,6.38,Success!
Georgia,2020-07-14,123963,3054,32982,1427,26.61,46.73,True,True,,,3239300,31.46,Success!
Washington,2020-07-14,42304,1404,1618,48,5.44,3.58,False,False,29767.0,1339.0,269854,3.7,Success!
"Washington, DC",2020-07-14,10946,568,5395,421,49.29,74.12,True,True,,,321317,46.94,Success!
Delaware,2020-07-14,12969,114,3305,132,25.48,115.79,True,False,,,209892,22.11,Success!
Maine,2020-07-14,3566,114,824,,25.8,,False,True,3194.0,,17881,1.34,Success!
Iowa,2020-07-14,35866,757,3078,36,8.58,4.76,True,True,,,109911,3.51,Success!
North Carolina,2020-07-14,89484,1552,14431,490,23.93,32.78,False,True,60308.0,1495.0,2179622,21.46,Success!
Illinois,2020-07-14,155506,7218,26132,1997,16.8,27.67,True,False,,,1824125,14.23,Success!
Idaho,2020-07-14,11718,103,158,1,1.35,0.97,False,True,,,11536,0.68,Success!
Minnesota,2020-07-14,43170,1510,8804,148,20.39,9.8,True,True,,,342186,6.19,Success!
Massachusetts,2020-07-14,112130,8340,10534,685,9.39,8.21,True,False,,,510558,7.48,Success!
Wisconsin -- Milwaukee,2020-07-14,14478,360,4161,145,30.95,40.28,False,False,13446.0,360.0,252321,26.44,Success!
Missouri,2020-07-14,28826,1093,6910,373,34.6,36.82,False,True,19970.0,1013.0,704896,11.57,Success!
