Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Pct Includes Unknown Race,Pct Includes Hispanic Black,Count Cases Known Race,Count Deaths Known Race,Black/AA Population,Pct Black/AA Population,Status code
Illinois,2020-08-07,190508.0,7613.0,31030.0,2073.0,16.29,27.23,True,False,,,1824125,14.23,Success!
Louisiana,2020-08-05,128746.0,4089.0,41962.0,1960.0,44.38,49.63,False,True,94556.0,3949.0,1502916,32.23,Success!
Washington,2020-08-06,60917.0,1653.0,2282.0,54.0,5.62,3.35,False,False,40590.0,1610.0,269854,3.7,Success!
North Carolina,2020-08-07,132812.0,2134.0,23339.0,638.0,24.05,31.32,False,True,97045.0,2037.0,2179622,21.46,Success!
Wyoming,,,,,,,,False,False,,,5540,0.95,An error occurred. ... JSONDecodeError('Expecting value: line 1 column 1 (char 0)')
NewYork,2020-08-06,419642.0,25190.0,,6381.0,,26.9,False,False,,23719.0,,,Success!
New York -- New York,2020-08-07,223876,18944,35465.0,5285.0,29.32,30.44,False,True,120940.0,17362.0,2049418,24.27,Success!
Wisconsin,2020-08-07,58768,990,8505.0,211.0,15.98,21.69,False,True,53208.0,973.0,368744,6.38,Success!
Wisconsin -- Milwaukee,2020-08-07,20734,389,5763.0,149.0,29.76,38.3,False,False,19365.0,389.0,252321,26.44,Success!
Oregon,2020-08-07,20636,348,732.0,9.0,4.05,2.94,False,True,18060.0,306.0,77789,1.91,Success!
Rhode Island,2020-07-03,16491,960,1592.0,48.0,12.29,6.14,False,False,12950.0,782.0,69254,6.55,Success!
SouthCarolina,,,,,,,,False,False,,,,,"An error occurred. ... TimeoutException('', None, None)"
Tennessee,2020-08-07,118782,1206,22584.0,403.0,19.01,33.42,True,True,,,1117489,16.8,Success!
Maine,2020-08-07,4014,124,887.0,,24.47,,False,True,3625.0,,17881,1.34,Success!
Maryland,2020-08-07,93806,3429,29141.0,1406.0,36.9,41.21,False,False,78976.0,3412.0,1788090,29.78,Success!
Alabama,2020-08-07,94827,1674,26035.0,694.0,42.5,42.92,False,False,61258.0,1617.0,1293186,26.58,Success!
Arkansas,2020-08-07,48039,521,10284.0,140.0,24.55,26.92,False,True,41894.0,520.0,460970,15.41,Success!
Ohio,,,,,,,,False,False,,,1438271,12.35,An error occurred. ... JSONDecodeError('Expecting value: line 1 column 1 (char 0)')
Connecticut,2020-08-06,48345,3558,6575.0,656.0,13.6,18.44,True,False,,,378262,10.56,Success!
Michigan,2020-08-07,86106,6161,22766.0,2443.0,26.44,39.65,True,False,,,1375424,13.81,Success!
Hawaii,2020-08-07,3115,31,24.0,,1.39,,False,True,1725.0,,26266,1.85,Success!
Oklahoma,2020-08-07,42255,600,2877.5654999999997,37.98,6.81,6.33,False,False,33203.979,567.0,287959,7.35,Success!
Montana,2020-08-07,4757,70,24.0,,0.5,,True,True,,,4630,0.44,Success!
Kansas,2020-08-07,30638,380,2280.0,67.0,8.99,18.16,False,True,25353.0,369.0,169801,5.84,Success!
Alaska,2020-08-07,2179.0,25.0,115.0,0.0,5.78,0.0,False,True,1989.0,25.0,24129,3.27,Success!
NorthDakota,2020-08-07,7327,110,,,,,False,False,,,,,Success!
Massachusetts,2020-08-07,120291,8709,11207.0,718.0,9.32,8.24,True,False,,,510558,7.48,Success!
Florida -- Miami-Dade County,2020-08-07,129409,1809,11477.0,,16.28,,False,True,70509.0,,481976,17.75,Success!
Florida -- Orange County,2020-08-07,31026,287,4136.0,,24.5,,False,True,16882.0,,277193,20.98,Success!
Iowa,2020-08-07,47894,915,3581.0,42.0,7.48,4.59,True,True,,,109911,3.51,Success!
Missouri,2020-08-07,57375,1301,11434.0,425.0,26.61,33.95,False,True,42963.0,1252.0,704896,11.57,Success!
Utah,2020-08-07,43375,335,1045,6,2.4,1.79,True,False,,,35862,1.18,Success!
Mississippi,2020-08-06,65436,1848,27599,907,42.18,49.08,True,True,,,1125834,37.67,Success!
Texas -- Bexar County,2020-08-07,42299,422,464,17.0,6.81,15.32,False,False,6812.0,111.0,146703,7.62,Success!
Minnesota,2020-08-07,59185,1640,12289,159,20.76,9.7,True,True,,,342186,6.19,Success!
Nevada,2020-08-07,54533,920,2749,79,8.06,12.29,False,False,34113.0,643.0,261123,8.93,Success!
Texas,,,,,,,,False,False,,,3365783,12.07,"An error occurred. ... KeyError(""None of ['Race/Ethnicity'] are in the columns"")"
Delaware,2020-08-07,15445,588,3931,150,27.91,26.69,False,False,14085.0,562.0,209892,22.11,Success!
Nebraska,2020-08-07,28104,345,1716,24,7.89,7.36,False,True,21757.0,326.0,90860,4.77,Success!
SouthDakota,2020-08-07,9371,144,1035,,11.04,,False,False,9371.0,,,,Success!
Vermont,2020-08-07,1448,58,165,0,11.69,0.0,False,True,1411.0,57.0,8058,1.29,Success!
New Mexico,2020-08-07,21965,675,408,,1.86,,True,False,,,43006,2.06,Success!
Florida,2020-08-07,512421,7927,64134,1460,12.52,18.42,True,False,,,3316376,16.1,Success!
"Washington, DC",2020-08-07,12589,589,6227,436,49.46,74.02,True,True,,,321317,46.94,Success!
California - San Francisco,,,,,,,,False,False,,,,,An error occurred. ... KeyError('Date_Uploaded.Data as of')
Colorado,2020-08-07,49893,1857,2470,124,5.86,6.79,False,False,42165.0,1825.0,227938,4.12,Success!
California - San Diego,2020-08-07,31779,586,1207,25,4.69,4.31,False,False,25721.0,580.0,166412,5.04,Success!
Idaho,2020-08-07,23922,228,264,3,1.1,1.32,False,True,,,11536,0.68,Success!
Pennsylvania,2020-08-07,113969,7297,16115,1545,29.2,21.17,False,True,55194.0,7297.0,1423319,11.13,Success!
Arizona,2020-08-07,185053,4081,4491.0,126.0,4.46,3.61,False,False,100703.0,3491.0,305259,4.39,Success!
Georgia,2020-08-07,209004,4117,53285,1830,25.49,44.45,True,True,,,3239300,31.46,Success!
Virginia,2020-07-21,79371,2048,12922,483,16.28,23.58,True,True,,,1613285,19.17,Success!
WestVirginia,,,,,,,,False,False,,,,,"An error occurred. ... TimeoutException('', None, None)"
Indiana,2020-08-07,72254,2821,8168,394,11.3,13.97,True,True,,,619472,9.33,Success!
New Hampshire,2020-08-07,6779,419,342,9,5.8,2.18,False,False,5893.0,413.0,20516,1.53,Success!
Kentucky,2020-08-07,33796,764,2731,103,12.67,14.75,False,True,21558.0,705.0,354112,7.98,Success!
California - Los Angeles,,,,,,,,False,False,,,823987,8.16,"An error occurred. ... KeyError(""['Under Investigation'] not found in axis"")"
